"";"Subject";"Day";"Axis";"Context";"Proportion"
"1";"1";"Day 1";"Long Wall Left";"Context A";0
"2";"1";"Day 1";"Long Wall Left";"Context B";100
"3";"1";"Day 1";"Long Wall Right";"Context A";100
"4";"1";"Day 1";"Long Wall Right";"Context B";0
"5";"1";"Day 2";"Long Wall Left";"Context A";33,3333333
"6";"1";"Day 2";"Long Wall Left";"Context B";50
"7";"1";"Day 2";"Long Wall Right";"Context A";66,6666667
"8";"1";"Day 2";"Long Wall Right";"Context B";50
"9";"1";"Day 3";"Long Wall Left";"Context A";33,3333333
"10";"1";"Day 3";"Long Wall Left";"Context B";66,6666667
"11";"1";"Day 3";"Long Wall Right";"Context A";66,6666667
"12";"1";"Day 3";"Long Wall Right";"Context B";33,3333333
"13";"2";"Day 1";"Long Wall Left";"Context A";50
"14";"2";"Day 1";"Long Wall Left";"Context B";100
"15";"2";"Day 1";"Long Wall Right";"Context A";50
"16";"2";"Day 1";"Long Wall Right";"Context B";0
"17";"2";"Day 2";"Long Wall Left";"Context A";50
"18";"2";"Day 2";"Long Wall Left";"Context B";83,3333333
"19";"2";"Day 2";"Long Wall Right";"Context A";50
"20";"2";"Day 2";"Long Wall Right";"Context B";16,6666667
"21";"2";"Day 3";"Long Wall Left";"Context A";0
"22";"2";"Day 3";"Long Wall Left";"Context B";33,3333333
"23";"2";"Day 3";"Long Wall Right";"Context A";100
"24";"2";"Day 3";"Long Wall Right";"Context B";66,6666667
"25";"3";"Day 1";"Long Wall Left";"Context A";0
"26";"3";"Day 1";"Long Wall Left";"Context B";100
"27";"3";"Day 1";"Long Wall Right";"Context A";100
"28";"3";"Day 1";"Long Wall Right";"Context B";0
"29";"3";"Day 2";"Long Wall Left";"Context A";25
"30";"3";"Day 2";"Long Wall Left";"Context B";75
"31";"3";"Day 2";"Long Wall Right";"Context A";75
"32";"3";"Day 2";"Long Wall Right";"Context B";25
"33";"3";"Day 3";"Long Wall Left";"Context A";50
"34";"3";"Day 3";"Long Wall Left";"Context B";83,3333333
"35";"3";"Day 3";"Long Wall Right";"Context A";50
"36";"3";"Day 3";"Long Wall Right";"Context B";16,6666667
"37";"4";"Day 1";"Long Wall Left";"Context A";50
"38";"4";"Day 1";"Long Wall Left";"Context B";100
"39";"4";"Day 1";"Long Wall Right";"Context A";50
"40";"4";"Day 1";"Long Wall Right";"Context B";0
"41";"4";"Day 2";"Long Wall Left";"Context A";16,6666667
"42";"4";"Day 2";"Long Wall Left";"Context B";80
"43";"4";"Day 2";"Long Wall Right";"Context A";83,3333333
"44";"4";"Day 2";"Long Wall Right";"Context B";20
"45";"4";"Day 3";"Long Wall Left";"Context A";16,6666667
"46";"4";"Day 3";"Long Wall Left";"Context B";60
"47";"4";"Day 3";"Long Wall Right";"Context A";83,3333333
"48";"4";"Day 3";"Long Wall Right";"Context B";40
"49";"5";"Day 1";"Long Wall Left";"Context A";0
"50";"5";"Day 1";"Long Wall Left";"Context B";100
"51";"5";"Day 1";"Long Wall Right";"Context A";100
"52";"5";"Day 1";"Long Wall Right";"Context B";0
"53";"5";"Day 2";"Long Wall Left";"Context A";50
"54";"5";"Day 2";"Long Wall Left";"Context B";75
"55";"5";"Day 2";"Long Wall Right";"Context A";50
"56";"5";"Day 2";"Long Wall Right";"Context B";25
"57";"5";"Day 3";"Long Wall Left";"Context A";33,3333333
"58";"5";"Day 3";"Long Wall Left";"Context B";33,3333333
"59";"5";"Day 3";"Long Wall Right";"Context A";66,6666667
"60";"5";"Day 3";"Long Wall Right";"Context B";66,6666667
"61";"6";"Day 1";"Long Wall Left";"Context A";0
"62";"6";"Day 1";"Long Wall Left";"Context B";0
"63";"6";"Day 1";"Long Wall Right";"Context A";100
"64";"6";"Day 1";"Long Wall Right";"Context B";100
"65";"6";"Day 2";"Long Wall Left";"Context A";0
"66";"6";"Day 2";"Long Wall Left";"Context B";100
"67";"6";"Day 2";"Long Wall Right";"Context A";100
"68";"6";"Day 2";"Long Wall Right";"Context B";0
"69";"6";"Day 3";"Long Wall Left";"Context A";50
"70";"6";"Day 3";"Long Wall Left";"Context B";100
"71";"6";"Day 3";"Long Wall Right";"Context A";50
"72";"6";"Day 3";"Long Wall Right";"Context B";0
"73";"7";"Day 1";"Long Wall Left";"Context A";50
"74";"7";"Day 1";"Long Wall Left";"Context B";100
"75";"7";"Day 1";"Long Wall Right";"Context A";50
"76";"7";"Day 1";"Long Wall Right";"Context B";0
"77";"7";"Day 2";"Long Wall Left";"Context A";20
"78";"7";"Day 2";"Long Wall Left";"Context B";66,6666667
"79";"7";"Day 2";"Long Wall Right";"Context A";80
"80";"7";"Day 2";"Long Wall Right";"Context B";33,3333333
"81";"7";"Day 3";"Long Wall Left";"Context A";33,3333333
"82";"7";"Day 3";"Long Wall Left";"Context B";66,6666667
"83";"7";"Day 3";"Long Wall Right";"Context A";66,6666667
"84";"7";"Day 3";"Long Wall Right";"Context B";33,3333333
"85";"8";"Day 1";"Long Wall Left";"Context A";0
"86";"8";"Day 1";"Long Wall Left";"Context B";50
"87";"8";"Day 1";"Long Wall Right";"Context A";100
"88";"8";"Day 1";"Long Wall Right";"Context B";50
"89";"8";"Day 2";"Long Wall Left";"Context A";50
"90";"8";"Day 2";"Long Wall Left";"Context B";75
"91";"8";"Day 2";"Long Wall Right";"Context A";50
"92";"8";"Day 2";"Long Wall Right";"Context B";25
"93";"8";"Day 3";"Long Wall Left";"Context A";66,6666667
"94";"8";"Day 3";"Long Wall Left";"Context B";83,3333333
"95";"8";"Day 3";"Long Wall Right";"Context A";33,3333333
"96";"8";"Day 3";"Long Wall Right";"Context B";16,6666667
"97";"9";"Day 1";"Long Wall Left";"Context A";50
"98";"9";"Day 1";"Long Wall Left";"Context B";50
"99";"9";"Day 1";"Long Wall Right";"Context A";50
"100";"9";"Day 1";"Long Wall Right";"Context B";50
"101";"9";"Day 2";"Long Wall Left";"Context A";33,3333333
"102";"9";"Day 2";"Long Wall Left";"Context B";66,6666667
"103";"9";"Day 2";"Long Wall Right";"Context A";66,6666667
"104";"9";"Day 2";"Long Wall Right";"Context B";33,3333333
"105";"9";"Day 3";"Long Wall Left";"Context A";16,6666667
"106";"9";"Day 3";"Long Wall Left";"Context B";83,3333333
"107";"9";"Day 3";"Long Wall Right";"Context A";83,3333333
"108";"9";"Day 3";"Long Wall Right";"Context B";16,6666667
"109";"10";"Day 1";"Long Wall Left";"Context A";50
"110";"10";"Day 1";"Long Wall Left";"Context B";100
"111";"10";"Day 1";"Long Wall Right";"Context A";50
"112";"10";"Day 1";"Long Wall Right";"Context B";0
"113";"10";"Day 2";"Long Wall Left";"Context A";0
"114";"10";"Day 2";"Long Wall Left";"Context B";100
"115";"10";"Day 2";"Long Wall Right";"Context A";100
"116";"10";"Day 2";"Long Wall Right";"Context B";0
"117";"10";"Day 3";"Long Wall Left";"Context A";60
"118";"10";"Day 3";"Long Wall Left";"Context B";83,3333333
"119";"10";"Day 3";"Long Wall Right";"Context A";40
"120";"10";"Day 3";"Long Wall Right";"Context B";16,6666667
"121";"11";"Day 1";"Long Wall Left";"Context A";0
"122";"11";"Day 1";"Long Wall Left";"Context B";100
"123";"11";"Day 1";"Long Wall Right";"Context A";100
"124";"11";"Day 1";"Long Wall Right";"Context B";0
"125";"11";"Day 2";"Long Wall Left";"Context A";0
"126";"11";"Day 2";"Long Wall Left";"Context B";66,6666667
"127";"11";"Day 2";"Long Wall Right";"Context A";100
"128";"11";"Day 2";"Long Wall Right";"Context B";33,3333333
"129";"11";"Day 3";"Long Wall Left";"Context A";0
"130";"11";"Day 3";"Long Wall Left";"Context B";100
"131";"11";"Day 3";"Long Wall Right";"Context A";100
"132";"11";"Day 3";"Long Wall Right";"Context B";0
"133";"12";"Day 1";"Long Wall Left";"Context A";50
"134";"12";"Day 1";"Long Wall Left";"Context B";0
"135";"12";"Day 1";"Long Wall Right";"Context A";50
"136";"12";"Day 1";"Long Wall Right";"Context B";100
"137";"12";"Day 2";"Long Wall Left";"Context A";50
"138";"12";"Day 2";"Long Wall Left";"Context B";83,3333333
"139";"12";"Day 2";"Long Wall Right";"Context A";50
"140";"12";"Day 2";"Long Wall Right";"Context B";16,6666667
"141";"12";"Day 3";"Long Wall Left";"Context A";16,6666667
"142";"12";"Day 3";"Long Wall Left";"Context B";100
"143";"12";"Day 3";"Long Wall Right";"Context A";83,3333333
"144";"12";"Day 3";"Long Wall Right";"Context B";0
"145";"13";"Day 1";"Long Wall Left";"Context A";0
"146";"13";"Day 1";"Long Wall Left";"Context B";50
"147";"13";"Day 1";"Long Wall Right";"Context A";100
"148";"13";"Day 1";"Long Wall Right";"Context B";50
"149";"13";"Day 2";"Long Wall Left";"Context A";16,6666667
"150";"13";"Day 2";"Long Wall Left";"Context B";83,3333333
"151";"13";"Day 2";"Long Wall Right";"Context A";83,3333333
"152";"13";"Day 2";"Long Wall Right";"Context B";16,6666667
"153";"13";"Day 3";"Long Wall Left";"Context A";16,6666667
"154";"13";"Day 3";"Long Wall Left";"Context B";60
"155";"13";"Day 3";"Long Wall Right";"Context A";83,3333333
"156";"13";"Day 3";"Long Wall Right";"Context B";40
"157";"14";"Day 1";"Long Wall Left";"Context A";0
"158";"14";"Day 1";"Long Wall Left";"Context B";100
"159";"14";"Day 1";"Long Wall Right";"Context A";100
"160";"14";"Day 1";"Long Wall Right";"Context B";0
"161";"14";"Day 2";"Long Wall Left";"Context A";0
"162";"14";"Day 2";"Long Wall Left";"Context B";83,3333333
"163";"14";"Day 2";"Long Wall Right";"Context A";100
"164";"14";"Day 2";"Long Wall Right";"Context B";16,6666667
"165";"14";"Day 3";"Long Wall Left";"Context A";0
"166";"14";"Day 3";"Long Wall Left";"Context B";83,3333333
"167";"14";"Day 3";"Long Wall Right";"Context A";100
"168";"14";"Day 3";"Long Wall Right";"Context B";16,6666667
