"";"Axis";"Day";"Context";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"Long Wall Left";"Day 1";"Context A";14;0;"0.00";"0.00";"0.00";"21.43";"20.00";"50.00";"50.00";"25.68";"6.86";"50.00";"0.00"
"2";"Long Wall Left";"Day 1";"Context B";14;0;"0.00";"50.00";"100.00";"75.00";"85.00";"100.00";"100.00";"37.98";"10.15";"50.00";"0.00"
"3";"Long Wall Right";"Day 1";"Context A";14;0;"50.00";"50.00";"100.00";"78.57";"80.00";"100.00";"100.00";"25.68";"6.86";"50.00";"0.00"
"4";"Long Wall Right";"Day 1";"Context B";14;0;"0.00";"0.00";"0.00";"25.00";"15.00";"50.00";"100.00";"37.98";"10.15";"50.00";"0.00"
"5";"Long Wall Left";"Day 2";"Context A";14;0;"0.00";"4.17";"22.50";"24.64";"24.50";"45.83";"50.00";"20.19";"5.40";"41.67";"33.36"
"6";"Long Wall Left";"Day 2";"Context B";14;0;"50.00";"68.75";"77.50";"77.74";"77.17";"83.33";"100.00";"13.25";"3.54";"14.58";"8.65"
"7";"Long Wall Right";"Day 2";"Context A";14;0;"50.00";"54.17";"77.50";"75.36";"75.50";"95.83";"100.00";"20.19";"5.40";"41.67";"33.36"
"8";"Long Wall Right";"Day 2";"Context B";14;0;"0.00";"16.67";"22.50";"22.26";"22.83";"31.25";"50.00";"13.25";"3.54";"14.58";"8.65"
"9";"Long Wall Left";"Day 3";"Context A";14;0;"0.00";"16.67";"25.00";"28.10";"26.67";"45.83";"66.67";"22.25";"5.95";"29.17";"24.71"
"10";"Long Wall Left";"Day 3";"Context B";14;0;"33.33";"61.67";"83.33";"74.05";"77.00";"83.33";"100.00";"21.96";"5.87";"21.67";"24.71"
"11";"Long Wall Right";"Day 3";"Context A";14;0;"33.33";"54.17";"75.00";"71.90";"73.33";"83.33";"100.00";"22.25";"5.95";"29.17";"24.71"
"12";"Long Wall Right";"Day 3";"Context B";14;0;"0.00";"16.67";"16.67";"25.95";"23.00";"38.33";"66.67";"21.96";"5.87";"21.67";"24.71"
