"";"Subject";"Day";"CellType";"heading_prediction";"context_prediction"
"1";"AK42_CA1";"1";" FI";0,556;0,556
"2";"AK42_CA1";"1";" FS";NA;NA
"3";"AK74_CA1";"1";" FI";0,3;0,6
"4";"AK74_CA1";"1";" FS";0,5;0,6
"5";"CMG159_recut";"1";" FI";0,667;0,5
"6";"CMG159_recut";"1";" FS";0,667;0,667
"7";"HGY1_recut";"1";" FI";0,714;0,429
"8";"HGY1_recut";"1";" FS";0,714;0,571
"9";"JJ9_CA1";"1";" FI";0,6;0,6
"10";"JJ9_CA1";"1";" FS";NA;NA
"11";"K1_CA1";"1";" FI";0,75;0,75
"12";"K1_CA1";"1";" FS";NA;NA
"13";"MG1";"1";" FI";0,667;0,556
"14";"MG1";"1";" FS";0,667;0,556
"15";"AK42_CA1";"2";" FI";0,714;0,571
"16";"AK42_CA1";"2";" FS";NA;NA
"17";"AK74_CA1";"2";" FI";0,714;0,714
"18";"AK74_CA1";"2";" FS";0,75;0,625
"19";"CMG159_recut";"2";" FI";0,75;0,875
"20";"CMG159_recut";"2";" FS";0,75;1
"21";"HGY1_recut";"2";" FI";NA;NA
"22";"HGY1_recut";"2";" FS";NA;NA
"23";"JJ9_CA1";"2";" FI";1;0,625
"24";"JJ9_CA1";"2";" FS";NA;NA
"25";"K1_CA1";"2";" FI";0,6;0,5
"26";"K1_CA1";"2";" FS";NA;NA
"27";"MG1";"2";" FI";0,636;0,545
"28";"MG1";"2";" FS";0,7;0,6
"29";"AK42_CA1";"3";" FI";0,625;0,75
"30";"AK42_CA1";"3";" FS";NA;NA
"31";"AK74_CA1";"3";" FI";0,625;0,75
"32";"AK74_CA1";"3";" FS";NA;NA
"33";"CMG159_recut";"3";" FI";0,5;0,875
"34";"CMG159_recut";"3";" FS";0,625;0,875
"35";"HGY1_recut";"3";" FI";NA;NA
"36";"HGY1_recut";"3";" FS";NA;NA
"37";"JJ9_CA1";"3";" FI";0,727;0,909
"38";"JJ9_CA1";"3";" FS";0,727;0,455
"39";"K1_CA1";"3";" FI";0,875;0,625
"40";"K1_CA1";"3";" FS";NA;NA
"41";"MG1";"3";" FI";0,636;0,636
"42";"MG1";"3";" FS";0,6;0,6
