"";"Subject";"Day";"Rotation";"Proportion"
"1";"AK42_CA1";"Day 1";"0º";0,5053435115
"2";"AK42_CA1";"Day 1";"90º";0,1099236641
"3";"AK42_CA1";"Day 1";"180º";0,2977099237
"4";"AK42_CA1";"Day 1";"270º";0,08702290076
"5";"AK74_CA1";"Day 1";"0º";0,4684210526
"6";"AK74_CA1";"Day 1";"90º";0,1684210526
"7";"AK74_CA1";"Day 1";"180º";0,1894736842
"8";"AK74_CA1";"Day 1";"270º";0,1736842105
"9";"CMG159_recut";"Day 1";"0º";0,2638230648
"10";"CMG159_recut";"Day 1";"90º";0,1990521327
"11";"CMG159_recut";"Day 1";"180º";0,2685624013
"12";"CMG159_recut";"Day 1";"270º";0,2685624013
"13";"JJ9_CA1";"Day 1";"0º";0,3834196891
"14";"JJ9_CA1";"Day 1";"90º";0,1502590674
"15";"JJ9_CA1";"Day 1";"180º";0,3471502591
"16";"JJ9_CA1";"Day 1";"270º";0,1191709845
"17";"MG1";"Day 1";"0º";0,2544303797
"18";"MG1";"Day 1";"90º";0,2316455696
"19";"MG1";"Day 1";"180º";0,2632911392
"20";"MG1";"Day 1";"270º";0,2506329114
"21";"K1_CA1";"Day 1";"0º";0,4962406015
"22";"K1_CA1";"Day 1";"90º";0,09022556391
"23";"K1_CA1";"Day 1";"180º";0,2706766917
"24";"K1_CA1";"Day 1";"270º";0,1428571429
"25";"AK42_CA1";"Day 2";"0º";0,57960199
"26";"AK42_CA1";"Day 2";"90º";0,06467661692
"27";"AK42_CA1";"Day 2";"180º";0,2338308458
"28";"AK42_CA1";"Day 2";"270º";0,1218905473
"29";"AK74_CA1";"Day 2";"0º";0,497716895
"30";"AK74_CA1";"Day 2";"90º";0,1461187215
"31";"AK74_CA1";"Day 2";"180º";0,1415525114
"32";"AK74_CA1";"Day 2";"270º";0,2146118721
"33";"CMG159_recut";"Day 2";"0º";0,3653308481
"34";"CMG159_recut";"Day 2";"90º";0,2367194781
"35";"CMG159_recut";"Day 2";"180º";0,2171481827
"36";"CMG159_recut";"Day 2";"270º";0,1808014911
"37";"JJ9_CA1";"Day 2";"0º";0,4011627907
"38";"JJ9_CA1";"Day 2";"90º";0,1860465116
"39";"JJ9_CA1";"Day 2";"180º";0,273255814
"40";"JJ9_CA1";"Day 2";"270º";0,1395348837
"41";"MG1";"Day 2";"0º";0,2950819672
"42";"MG1";"Day 2";"90º";0,2330210773
"43";"MG1";"Day 2";"180º";0,256440281
"44";"MG1";"Day 2";"270º";0,2154566745
"45";"K1_CA1";"Day 2";"0º";0,372027972
"46";"K1_CA1";"Day 2";"90º";0,1958041958
"47";"K1_CA1";"Day 2";"180º";0,2601398601
"48";"K1_CA1";"Day 2";"270º";0,172027972
"49";"AK42_CA1";"Day 3";"0º";0,262295082
"50";"AK42_CA1";"Day 3";"90º";0,2116244411
"51";"AK42_CA1";"Day 3";"180º";0,3084947839
"52";"AK42_CA1";"Day 3";"270º";0,217585693
"53";"AK74_CA1";"Day 3";"0º";0,3614864865
"54";"AK74_CA1";"Day 3";"90º";0,1385135135
"55";"AK74_CA1";"Day 3";"180º";0,3783783784
"56";"AK74_CA1";"Day 3";"270º";0,1216216216
"57";"CMG159_recut";"Day 3";"0º";0,2968871211
"58";"CMG159_recut";"Day 3";"90º";0,2194732322
"59";"CMG159_recut";"Day 3";"180º";0,2386271123
"60";"CMG159_recut";"Day 3";"270º";0,2450121222
"61";"JJ9_CA1";"Day 3";"0º";0,5274949084
"62";"JJ9_CA1";"Day 3";"90º";0,1140529532
"63";"JJ9_CA1";"Day 3";"180º";0,1731160896
"64";"JJ9_CA1";"Day 3";"270º";0,1853360489
"65";"MG1";"Day 3";"0º";0,3281653747
"66";"MG1";"Day 3";"90º";0,2325581395
"67";"MG1";"Day 3";"180º";0,2428940568
"68";"MG1";"Day 3";"270º";0,1963824289
"69";"K1_CA1";"Day 3";"0º";0,2797202797
"70";"K1_CA1";"Day 3";"90º";0,2400932401
"71";"K1_CA1";"Day 3";"180º";0,2867132867
"72";"K1_CA1";"Day 3";"270º";0,1934731935
