"";"Rotation";"Day";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"0º";"Day 1";6;0;"0.25";"0.29";"0.43";"0.40";"0.40";"0.49";"0.51";"0.11";"0.05";"0.20";"0.11"
"2";"90º";"Day 1";6;0;"0.09";"0.12";"0.16";"0.16";"0.16";"0.19";"0.23";"0.05";"0.02";"0.07";"0.07"
"3";"180º";"Day 1";6;0;"0.19";"0.26";"0.27";"0.27";"0.28";"0.29";"0.35";"0.05";"0.02";"0.03";"0.03"
"4";"270º";"Day 1";6;0;"0.09";"0.13";"0.16";"0.17";"0.17";"0.23";"0.27";"0.07";"0.03";"0.11";"0.08"
"5";"0º";"Day 2";6;0;"0.30";"0.37";"0.39";"0.42";"0.41";"0.47";"0.58";"0.10";"0.04";"0.11";"0.08"
"6";"90º";"Day 2";6;0;"0.06";"0.16";"0.19";"0.18";"0.19";"0.22";"0.24";"0.06";"0.03";"0.07";"0.06"
"7";"180º";"Day 2";6;0;"0.14";"0.22";"0.25";"0.23";"0.24";"0.26";"0.27";"0.05";"0.02";"0.04";"0.03"
"8";"270º";"Day 2";6;0;"0.12";"0.15";"0.18";"0.17";"0.18";"0.21";"0.22";"0.04";"0.02";"0.06";"0.06"
"9";"0º";"Day 3";6;0;"0.26";"0.28";"0.31";"0.34";"0.32";"0.35";"0.53";"0.10";"0.04";"0.07";"0.06"
"10";"90º";"Day 3";6;0;"0.11";"0.16";"0.22";"0.19";"0.20";"0.23";"0.24";"0.05";"0.02";"0.07";"0.03"
"11";"180º";"Day 3";6;0;"0.17";"0.24";"0.26";"0.27";"0.27";"0.30";"0.38";"0.07";"0.03";"0.06";"0.05"
"12";"270º";"Day 3";6;0;"0.12";"0.19";"0.19";"0.19";"0.20";"0.21";"0.25";"0.04";"0.02";"0.02";"0.02"
